Семейство,Име,Абревиатура,Създател,Тип лиценз,Данни за лиценза,Достъп с чат интерфейс,Лиценз за достъп с чат интерфейс,Достъп с API,Лиценз за достъп с API,Достъп за изтегляне,Лиценз за изтегляне,Дата на публикуване,Модалност,Размер в брой параметри,Архитектура на модела,Директна връзка към официалната страница на модела (ако има),Връзка в Ollama (ако има),Връзка в GitHub (ако има),Връзка в HuggingFace (ако има),Кратко описание на предназначението на модела,Кратко описание на данните за трениране,Кратко описание на начина на трениране,Многоезичен,Заложени езици,Включва ли се български,Включва ли се български (детайли),Информация за данните за тестване,"Връзки към публикации, описващи модела",Дължина на контекста,Допълнителни методи или особености на модела,Фина настройка,Други детайли
Gemini,Gemini 2,Gemini 2,Google DeepMind,Платен,Платен лиценз на Google - Google Terms of Service and API Terms,да,безплатен,да,безплатен,не,,"12.2024 (експериментална версия), 02.2025 (общ достъп)","текст към текст, изображение към текст, аудио към текст, видео към текст, код към текст, текст към код",неизвестно,"Следващо поколение AI модел проектиран за софтуерни агенти с подобрена архитектура за нативно използване на различни външни функции, многомодални входящи и изходящи данни",,,,,"Приложение в софтуерни агенти, интерактивни приложения, аудио и видео комуникация в реално време, генериране на изображения и аудио, сложни многостъпкови задачи","Разширени данни за работа на софтуерни агенти, подобрени техники за обучение, включващи нови методи за подкрепено учене","Нови техники за подкрепено учене, при които Gemini критикува собствените си отговори, автоматизирани процедури (red teaming) за безопасност",да,"100+ езика, включително английски, български, китайски, испански, френски, немски, руски и много други",да,,"Способности за софтуерни агенти, многомодално разбиране, програмиране, комплексно следване на инструкции, интегриране на външни функции, многомодален изход","Google introduces Gemini 2.0: A new AI model for the agentic era, <a href=""https://blog.google/technology/google-deepmind/google-gemini-ai-update-december-2024/"" target=""_blank"">https://blog.google/technology/google-deepmind/google-gemini-ai-update-december-2024/</a>",1M,Моделът е проектиран специално за работа със софтуерни агенти с нативни възможности за интегриране на различни инструменти и многомодални изходи,,"Първият AI модел, проектиран специално за нуждите на софтуерните агенти, поддържа нативно генериране на изображения и контролирано преобразуване на текст в реч"
Gemini,Gemini 1.5 Pro,Gemini 1.5 Pro,Google DeepMind,Платен,Платен лиценз на Google - Google Terms of Service and API Terms,да,безплатен,да,безплатен,не,,02.2024,"текст към текст, изображение към текст, аудио към текст, видео към текст, текст към код, код към текст",неизвестно,"Средно голям многомодален модел с MoE архитектура, оптимизиран за скалиране в широк спектър от задачи","<a href=""https://ai.google.dev/gemini-api/docs/models"" target=""_blank"">https://ai.google.dev/gemini-api/docs/models</a>",,,,"Широк спектър от задачи за разсъждения, обработка на големи количества данни, анализ на видео, аудио и бази с програмен код","Мащабни многомодални данни, подобни на тези на Gemini 1.0 Ultra, но с MoE ефективност",MoE обучение за подобрена ефективност при запазване на качеството,да,"100+ езика, включително английски, български, китайски, испански, френски, немски, руски и много други",да,,"Може да обработва 2 часа видео, 19 часа аудио, бази с програмен код с 60,000 реда код, или 2,000 страници текст",Gemini 1.5 Pro Technical Report,1M,Първият модел с 1 милион токъна контекстен прозорец в обращение,,"Първият модел от серията Gemini 1.5, постигащ ниво, подобно на Gemini 1.0 Ultra, но със значително по-висока ефективност"
Llama,Llama 4 Scout,Llama 4 Scout,Meta (Meta Platforms Inc.),Свободен,"Llama 4 Community License Agreement (с ограничения за ЕС и компании с над 700 милиона активни потребители месечно) <a href=""https://www.llama.com/llama4/license/"">https://www.llama.com/llama4/license/</a>",не,,не,,не,,5.04.2025,"текст към текст, изображение към текст, аудио към текст, видео към текст","17 милиарда активни параметъра, общо 109 милиарда параметъра (16 експерта)","Mixture-of-Experts (MoE) с 16 експерта, autoregressive трансформатор","<a href=""https://www.llama.com/models/llama-4/"" target=""_blank"">https://www.llama.com/models/llama-4/</a>",,,"<a href=""https://huggingface.co/meta-llama/Llama-4-Scout-Instruct"" target=""_blank"">https://huggingface.co/meta-llama/Llama-4-Scout-Instruct</a>","Резюмиране на множество документи, анализ на обширна потребителска активност, персонализирани задачи, разсъждения върху обширен код, обработка на дълги контексти","Над 30 трилиона токъна разнообразни текстови данни, изображения и видео данни, дестилиран от Llama 4 Behemoth","MoE предварително обучение с FP8 прецизност, междинно трениране за подобряване на основните възможности, дестилация от модела Behemoth",да,"Арабски, английски, френски, немски, хинди, индонезийски, италиански, португалски, испански, тагалог и други",неизвестно,,"Кодиране, съждения, дълъг контекст, анализ на изображения, анализ на видео до 20 часа","The Llama 4 herd: The beginning of a new era of natively multimodal AI innovation, <a href=""https://ai.meta.com/blog/llama-4-multimodal-intelligence/"" target=""_blank"">https://ai.meta.com/blog/llama-4-multimodal-intelligence/</a>",10M,"Мултимодалност чрез early fusion, 10M контекстен прозорец, MoE с 16 експерта",,
Claude,Claude 2.0,Claude 2.0,Anthropic,Платен,Платен лиценз (достъпен чрез Anthropic API и Claude.ai),да,платен,да,платен,не,,11.07.2023,текст към текст,неизвестно,Голям трансформаторен модел с подобрени функционалности при създаване на програмен код и решаване на математически задачи,"<a href=""https://www.anthropic.com/news/claude-2"" target=""_blank"">https://www.anthropic.com/news/claude-2</a>",,,,"Програмен код, математика, писане на дълъг текст, анализ на документи, диалог","Мащабни текстови данни, включващи програмен код и технически материали","Constitutional AI, RLHF, safety improvements with red-teaming",да,Многоезичен,ограничено,като част от многоезиковата поддръжка,"Bar exam (76.5%), GRE (90th percentile), Codex HumanEval (71.2%), GSM8k math (88.0%)","Claude 2 release, <a href=""https://www.anthropic.com/news/claude-2"" target=""_blank"">https://www.anthropic.com/news/claude-2</a>",100K,"Constitutional AI for safety, extensive red-teaming, 2x подобрение в даването на безобидни отговори",,"Първият публично достъпен модел през Claude.ai, значителни подобрения спрямо Claude 1.3"
GPT,GPT-2,GPT-2,OpenAI,Свободен,"Първоначално ограничено разпространение, по-късно отворен код",не,,да,безплатен,да,безплатен,2019,текст към текст,1.5 милиарда параметъра,"Подобрена трансформаторна архитектура с декодер, по-дълбоки слоеве от GPT-1","Исторически модел, не е наличен",,"<a href=""https://github.com/openai/gpt-2"" target=""_blank"">https://github.com/openai/gpt-2</a>","<a href=""https://huggingface.co/gpt2"" target=""_blank"">https://huggingface.co/gpt2</a>","Генериране на текст, превод, обобщение, създаване на съдържание",WebText - 8 милиона уеб страници с високо качество,Несупервизирано обучение с по-големи данни и модел от GPT-1,не,Главно английски с ограничено покритие на други езици,ограничено,Минимално покритие,"Генериране на текст, четене с разбиране, превод, отговаряне на въпроси","Language Models are Unsupervised Multitask Learners (OpenAI, 2019), <a href=""https://cdn.openai.com/better-language-models/language_models_are_unsupervised_multitask_learners.pdf"" target=""_blank"">https://cdn.openai.com/better-language-models/language_models_are_unsupervised_multitask_learners.pdf</a>",1K,Първоначално се счита за твърде опасен за свободно ползване,,"Възможности за генериране на убедителен човешки текст, което предизвика дебати за сигурността"
DeepSeek,DeepSeek‑R1‑Lite,DeepSeek‑R1‑Lite,"Hangzhou DeepSeek Artificial Intelligence Basic Technology Research Co., Ltd.",Свободен,"MIT лиценз <a href=""https://opensource.org/license/mit"">https://opensource.org/license/mit</a>",не,,не,,да,безплатен,01.2025 (Lite distilled release),текст към текст,1.5 милиарда параметъра,"Базирани на R1, Llama / Qwen, с multi‑stage RL+SFT процес",,"<a href=""https://ollama.com/library/deepseek-r1:7b"" target=""_blank"">https://ollama.com/library/deepseek-r1:7b</a>","<a href=""https://github.com/deepseek-ai/DeepSeek-R1"" target=""_blank"">https://github.com/deepseek-ai/DeepSeek-R1</a>","<a href=""https://huggingface.co/deepseek-ai/DeepSeek-R1-Zero"" target=""_blank"">https://huggingface.co/deepseek-ai/DeepSeek-R1-Zero</a>","Логически операции на по-леки устройства, чат, математика, код",Distilled RL+SFT примери от R1 pipeline (~800K примера),"Distillation от R1 към dense модели (Llama/Qwen), multi‑stage RL+SFT",да,Английски и др.,неизвестно,,"Сравнение с OpenAI‑o1 mini, reasoning benchmarks","<a href=""https://arxiv.org/abs/2501.12948"" target=""_blank"">https://arxiv.org/abs/2501.12948</a>",128K,distillation pipeline от MoE към dense,,Може да се изпълнява локално (например на Raspberry Pi)
DeepSeek,DeepSeek‑R1‑Lite,DeepSeek‑R1‑Lite,"Hangzhou DeepSeek Artificial Intelligence Basic Technology Research Co., Ltd.",Свободен,"MIT лиценз <a href=""https://opensource.org/license/mit"">https://opensource.org/license/mit</a>",не,,не,,да,безплатен,01.2025 (Lite distilled release),текст към текст,7 милиарда параметъра,"Базирани на R1, Llama / Qwen, с multi‑stage RL+SFT процес",,"<a href=""https://ollama.com/library/deepseek-r1:7b"" target=""_blank"">https://ollama.com/library/deepseek-r1:7b</a>","<a href=""https://github.com/deepseek-ai/DeepSeek-R1"" target=""_blank"">https://github.com/deepseek-ai/DeepSeek-R1</a>","<a href=""https://huggingface.co/deepseek-ai/DeepSeek-R1-Zero"" target=""_blank"">https://huggingface.co/deepseek-ai/DeepSeek-R1-Zero</a>","Логически операции на по-леки устройства, чат, математика, код",Distilled RL+SFT примери от R1 pipeline (~800K примера),"Distillation от R1 към dense модели (Llama/Qwen), multi‑stage RL+SFT",да,Английски и др.,неизвестно,,"Сравнение с OpenAI‑o1 mini, reasoning benchmarks","<a href=""https://arxiv.org/abs/2501.12948"" target=""_blank"">https://arxiv.org/abs/2501.12948</a>",128K,distillation pipeline от MoE към dense,,Може да се изпълнява локално (например на Raspberry Pi)
DeepSeek,DeepSeek‑R1‑Lite,DeepSeek‑R1‑Lite,"Hangzhou DeepSeek Artificial Intelligence Basic Technology Research Co., Ltd.",Свободен,"MIT лиценз <a href=""https://opensource.org/license/mit"">https://opensource.org/license/mit</a>",не,,не,,да,безплатен,01.2025 (Lite distilled release),текст към текст,32 милиарда параметъра,"Базирани на R1, Llama / Qwen, с multi‑stage RL+SFT процес",,"<a href=""https://ollama.com/library/deepseek-r1:7b"" target=""_blank"">https://ollama.com/library/deepseek-r1:7b</a>","<a href=""https://github.com/deepseek-ai/DeepSeek-R1"" target=""_blank"">https://github.com/deepseek-ai/DeepSeek-R1</a>","<a href=""https://huggingface.co/deepseek-ai/DeepSeek-R1-Zero"" target=""_blank"">https://huggingface.co/deepseek-ai/DeepSeek-R1-Zero</a>","Логически операции на по-леки устройства, чат, математика, код",Distilled RL+SFT примери от R1 pipeline (~800K примера),"Distillation от R1 към dense модели (Llama/Qwen), multi‑stage RL+SFT",да,Английски и др.,неизвестно,,"Сравнение с OpenAI‑o1 mini, reasoning benchmarks","<a href=""https://arxiv.org/abs/2501.12948"" target=""_blank"">https://arxiv.org/abs/2501.12948</a>",128K,distillation pipeline от MoE към dense,,Може да се изпълнява локално (например на Raspberry Pi)
DeepSeek,DeepSeek‑V3,DeepSeek‑V3,"Hangzhou DeepSeek Artificial Intelligence Basic Technology Research Co., Ltd.",Свободен,"MIT лиценз <a href=""https://opensource.org/license/mit"">https://opensource.org/license/mit</a>",не,,не,,да,безплатен,26.12.2024,текст към текст,671 милиарда параметъра (37B активни),"Mixture‑of‑Experts с Multi‑head Latent Attention, FP8 training, multi‑token prediction, без auxiliary-loss",,"<a href=""https://ollama.com/library/deepseek-v3"" target=""_blank"">https://ollama.com/library/deepseek-v3</a>","<a href=""https://github.com/deepseek-ai/DeepSeek-V3"" target=""_blank"">https://github.com/deepseek-ai/DeepSeek-V3</a>","<a href=""https://huggingface.co/deepseek-ai/DeepSeek-V3"" target=""_blank"">https://huggingface.co/deepseek-ai/DeepSeek-V3</a>","NLP задачи, чат, математическа логика, код, FIM completion",14.8 трилиона токъна от многоезични и мултимедийни данни,"Предварително обучение → SFT → RL, MLA, MoE, FP8 mixed‑precision, multi‑token objective",да,"Английски, китайски и др.",да,,"MMLU, BBH, C‑Eval, HumanEval, GSM8K и др. (равностойни на GPT‑4o)","<a href=""https://arxiv.org/abs/2412.19437"" target=""_blank"">https://arxiv.org/abs/2412.19437</a>",128K,"MLA, FP8, multi‑token loss, no auxiliary‑loss balancing",,~5× по-бърза инференция спрямо V2
DeepSeek,DeepSeek‑R1,DeepSeek‑R1,"Hangzhou DeepSeek Artificial Intelligence Basic Technology Research Co., Ltd.",Свободен,"MIT лиценз <a href=""https://opensource.org/license/mit"">https://opensource.org/license/mit</a>",не,,не,,да,безплатен,22.01.2025,текст към текст,671 милиарда параметъра (дестилиран до 70B и по-малки),"MoE разбиране, многоетапно RL + SFT („cold‑start data“)",,"<a href=""https://ollama.com/library/deepseek-r1"" target=""_blank"">https://ollama.com/library/deepseek-r1</a>","<a href=""https://github.com/deepseek-ai/DeepSeek-R1"" target=""_blank"">https://github.com/deepseek-ai/DeepSeek-R1</a>","<a href=""https://huggingface.co/deepseek-ai/DeepSeek-R1-Zero"" target=""_blank"">https://huggingface.co/deepseek-ai/DeepSeek-R1-Zero</a>","Reasoning, математика, код, логически задачи със CoT","RL генерирани примери, дистилирани знания от DeepSeek‑V3 и бази данни с човешка оценка",DeepSeek‑R1‑Zero: чист RL (GRPO); DeepSeek‑R1: cold‑start SFT + RL,да,"Английски, китайски и др.",да,,"Математика, код, BBH, HumanEval","<a href=""https://arxiv.org/abs/2501.12948"" target=""_blank"">https://arxiv.org/abs/2501.12948</a>",128K,"Pure‑RL (GRPO без SFT) за R1‑Zero, multi-phase RL+SFT, Chain‑of‑thought reward, distillation pipeline",,"Има множество дестилирани версии, включително за Raspberry Pi"
DeepSeek,DeepSeek‑V2,DeepSeek‑V2,"Hangzhou DeepSeek Artificial Intelligence Basic Technology Research Co., Ltd.",Свободен,"MIT лиценз <a href=""https://opensource.org/license/mit"">https://opensource.org/license/mit</a>",не,,не,,да,безплатен,5.05.2024,текст към текст,"236 милиарда параметъра (21B активни), Lite – 16B (2.4B активни)","Mixture‑of‑Experts (MoE) с Multi‑head Latent Attention, sparse computation","<a href=""https://huggingface.co/deepseek-ai/DeepSeek-V2"" target=""_blank"">https://huggingface.co/deepseek-ai/DeepSeek-V2</a>",ollama run deepseek-v2:236b (и :16b),"<a href=""https://github.com/deepseek-ai/DeepSeek-V2"" target=""_blank"">https://github.com/deepseek-ai/DeepSeek-V2</a>","<a href=""https://huggingface.co/deepseek-ai/DeepSeek-V2"" target=""_blank"">https://huggingface.co/deepseek-ai/DeepSeek-V2</a>","Генериране и разбиране на текст, код, математика, чатбот.","Предварително обучен върху 8.1 трилиона токъна за много езици, най-вече английски и китайски","Предварително обучение + SFT + RL (GRPO), MLA за ефективност, sparse MoE обучение",да,"Английски, китайски и други",да,,"MMLU, BBH, C‑Eval, HumanEval, MBPP, GSM8K","<a href=""https://arxiv.org/abs/2405.04434"" target=""_blank"">https://arxiv.org/abs/2405.04434</a>",128K,"MLA за latent attention, sparse MoE, KV cache компресия",,Икономичен откъм разходи (~42.5% спестяване) и и ефикасен (~5.76× по‑бърз)
DeepSeek,DeepSeek‑Coder‑V2,DeepSeek‑Coder‑V2,"Hangzhou DeepSeek Artificial Intelligence Basic Technology Research Co., Ltd.",Свободен,"MIT лиценз <a href=""https://opensource.org/license/mit"">https://opensource.org/license/mit</a>",не,,не,,да,безплатен,17.06.2024,"код към текст, код към код","236 милиарда параметъра (21B активни), Lite – 16B (2.4B активни)","MoE, базиран на DeepSeek‑V2 MoE + специално трениран за код и математика","<a href=""https://huggingface.co/deepseek-ai/DeepSeek-Coder-V2-Instruct"" target=""_blank"">https://huggingface.co/deepseek-ai/DeepSeek-Coder-V2-Instruct</a>","deeepseek-coder-v2:latest (8.9 GB, 160K контекст)","<a href=""https://github.com/deepseek-ai/DeepSeek-Coder-V2"" target=""_blank"">https://github.com/deepseek-ai/DeepSeek-Coder-V2</a>","<a href=""https://huggingface.co/deepseek-ai/DeepSeek-Coder-V2-Instruct"" target=""_blank"">https://huggingface.co/deepseek-ai/DeepSeek-Coder-V2-Instruct</a>","Генериране и разбиране на код, математическа логика, поддръжка на 338 езика за програмиране",Допълнително обучение върху 6 трилиона токъна код и математика след базовия модел V2,Предварително MoE pre‑training + SFT + RL за код и математика,да,"Кодови езици: 338, естествени езици за документация – английски, китайски и др.",не,,"HumanEval, MBPP, LiveCodeBench, USACO, Defects4J, SWE‑Bench и др.","<a href=""https://arxiv.org/abs/2406.11931"" target=""_blank"">https://arxiv.org/abs/2406.11931</a>",128K,"Допълнително MoE обучение специално за код + математика, sparse activation",,"Постига резултати, близки до тези на GPT‑4‑Turbo и Claude 3 Opus върху кодови задачи"
Mistral,Magistral Medium,Magistral Medium,Mistral AI SAS,Платен,Платен,не,,не,,не,,10.06.2025,текст към текст,неизвестно,Реинфорснато обучение за разсъждения върху Mistral Medium 3,,,,,"Комплексни разсъждения, логически вериги, задачи с последователни разсъждения",Cold-start data + RL pipeline върху задачи за разсъждения,"RL трениране без супервизирана дестилация, поощрения за последователни разсъждения",да,Многоезичен,неизвестно,,"Бенчмаркове за разсъждения, логически задачи","ArXiv: Magistral (12 юни 2025), <a href=""https://arxiv.org/abs/2506.10910"" target=""_blank"">https://arxiv.org/abs/2506.10910</a>",128K,"RL-only reasoning pipeline, CoT forced reasoning",,
Mistral,Mistral Medium 3,Mistral Medium 3,Mistral AI SAS,Платен,"Платен, достъпен през API",не,,не,,не,,7.05.2025,текст към текст,неизвестно,"Dense transformer, 128K контекст, оптимизиран за чат, код и STEM приложения","<a href=""https://mistral.ai/news/mistral-medium-3"" target=""_blank"">https://mistral.ai/news/mistral-medium-3</a>",,,,"Подходящ за чат, разсъждения, код и професионални use cases.",Многоезикови текстови данни + код + корпус от STEM задачи,Предварително трениране + фина настройка чрез инструкции + фина настройка за специализиран чат,да,"Многоезичен (английски, френски и други)",неизвестно,,"Професионални задачи за програмен код, бенчмаркове за STEM, HumanEval, вътрешни (непублични) бенчмаркове","Mistral Medium 3 announcement, InfoQ, <a href=""https://www.infoq.com/news/2025/05/mistral-ai-medium/"" target=""_blank"">https://www.infoq.com/news/2025/05/mistral-ai-medium/</a>",128K,"оптимизации за специални цели, пост-трениране, custom deployments",,
DeepSeek,DeepSeek‑R1‑Zero,DeepSeek‑R1‑Zero,"Hangzhou DeepSeek Artificial Intelligence Basic Technology Research Co., Ltd.",Свободен,"MIT лиценз <a href=""https://opensource.org/license/mit"">https://opensource.org/license/mit</a>",не,,не,,да,безплатен,22.01.2025,текст към текст,671 милиарда параметъра (21B активни),"MoE + RL без SFT, GRPO, Chain‑of‑thought induction",,,"<a href=""https://github.com/deepseek-ai/DeepSeek-R1-Zero"" target=""_blank"">https://github.com/deepseek-ai/DeepSeek-R1-Zero</a>","<a href=""https://huggingface.co/deepseek-ai/DeepSeek-R1-Zero"" target=""_blank"">https://huggingface.co/deepseek-ai/DeepSeek-R1-Zero</a>","Chain‑of‑thought reasoning, рефлексия, self‑verification без човешка фина настройка","RL, без супервизирано трениране","GRPO reinforcement learning, без SFT",не,Основно английски,неизвестно,,"Reasoning benchmark, CoT, self‑verification","<a href=""https://arxiv.org/abs/2501.12948"" target=""_blank"">https://arxiv.org/abs/2501.12948</a>",128K,"RL без SFT, GRPO, CoT structure reward",,
Kimi,Kimi K1.5,Kimi K1.5,"Moonshot AI (月之暗面), Пекин, Китай",Свободен,Безплатен достъп чрез уеб платформа,да,платен,да,платен,не,,20.01.2025,"текст към текст, изображение към текст, аудио към текст, видео към текст, текст към код, код към текст",неизвестно,"Многомодален езиков модел с подкрепено учене за логически операции, поток на мисълта","<a href=""https://kimi.moonshot.cn"" target=""_blank"">https://kimi.moonshot.cn</a>",,"<a href=""https://github.com/MoonshotAI/Kimi-k1.5"" target=""_blank"">https://github.com/MoonshotAI/Kimi-k1.5</a>",,"Многомодален софтуерен асистент, анализ на изображения и програмен код, уебтърсене в реално време, анализ на файлове, математически разсъждения",Текстови и визуални данни с голям масив от данни за подкрепено учене за логическо мислене и решаване на логически задачи,"Подкрепено учене (RL), платформа със скалиране за разширен контект, трениране за поток на мисълта, едновременно многомодално трениране",не,Китайски и английски (допълнителните английски данни са добавени на по-късен етап),не,,"MATH 500, AIME benchmarks, mathematical reasoning, multimodal tasks, chain-of-thought reasoning","Kimi k1.5: Scaling reinforcement learning with llms, <a href=""https://arxiv.org/abs/2501.12599"" target=""_blank"">https://arxiv.org/abs/2501.12599</a>",128K,"Скалиране за работа с разширен контекст при подкрепено учене, частични процеси за подобряване на ефективността, опростена система за подкрепено учене без MCTS",,"Напълно безплатен с неограничена употреба, твърди се, че по продуктивност е сравним с моделите на OpenAI, уебтърсене в реално време"
GPT,OpenAI o1,OpenAI o1,OpenAI,Платен,Платен лиценз (достъпен чрез OpenAI API),да,платен,да,платен,не,,"12.09.2024 (o1-preview), 05.12.2024 (пълна версия)",текст към текст,неизвестно,Трансформатор с функция за поток на мисълта; моделът е обучен да мисли преди отговаряне чрез подкрепено учене (reinforcement learning),"<a href=""https://openai.com/o1/"" target=""_blank"">https://openai.com/o1/</a>",,,,"Решаване на комплексни математически задачи, научни изследвания, програмен код, анализ на изображения, биологични изследвания",Мащабни текстови данни с фокус върху математически доказателства и научно съдържание,"Reinforcement learning, chain-of-thought reasoning, self-correction training, продължително мисленее",да,Многоезичен,ограничено,"Да, като част от многоезиковата поддръжка","AIME (78%), Codeforces (89-и процентил), GPQA Science, задачи по физика/химия/биология","OpenAI o1 system card, <a href=""https://openai.com/index/openai-o1-system-card/"" target=""_blank"">https://openai.com/index/openai-o1-system-card/</a>",128K,"Да - chain-of-thought reasoning, скрито мислене преди отговори, test-time compute scaling",,"Скрива chain of thought от потребителите за безопасност, по-бавен от GPT-4o заради reasoning, има o1 pro mode за $200/месец"
GPT,OpenAI o1-mini,OpenAI o1-mini,OpenAI,Платен,Платен лиценз (достъпен чрез OpenAI API),да,платен,да,платен,не,,12.09.2024,текст към текст,неизвестно,"По-малка версия на o1 с трансформаторна архитектура, оптимизирана за логически процеси в областта на науката, математиката, инженерството и технологиите","<a href=""https://openai.com/index/openai-o1-mini-advancing-cost-efficient-reasoning/"" target=""_blank"">https://openai.com/index/openai-o1-mini-advancing-cost-efficient-reasoning/</a>",,,,"Логическо мислене в областта на науката, математиката, инженерството и технологиите, програмен код, специализирани задачи без нужда от широки познания","Данни с фокус върху науката, математиката, инженерството и технологиите, събрани до октомври 2023, оптимизирани за математическо и научно мислене и анализ","Обучение за поток на мисълта с фокус върху науката, математиката, инженерството и технологиите, използва 80% по-малко ресурси от o1-preview",да,"Многоезичен, с фокус върху съдържание от областта на науката, математиката, инженерството и технологиите",ограничено,"Да, ограничена поддръжка","AIME, Codeforces (1650 Elo, 86-и процентил), HumanEval оценка на програмен код, MATH-500","OpenAI o1-mini system card, <a href=""https://openai.com/index/openai-o1-mini-advancing-cost-efficient-reasoning/"" target=""_blank"">https://openai.com/index/openai-o1-mini-advancing-cost-efficient-reasoning/</a>",128K,"Оптимизирана олекотена версия в фокус върху логически задачи от областта на науката, математиката, инженерството и технологиите",,
GPT,GPT-4o Realtime,GPT-4o Realtime,OpenAI,Платен,Платен лиценз (достъпен чрез OpenAI API),да,платен,да,платен,не,,"13.05.2024 (GPT-4o), 01.10.2024 (Realtime API)","текст към текст, изображение към текст, аудио към текст, видео към текст, текст към код, код към текст",неизвестно,"Трансформаторен модел, обучен за обработка на текст, аудио и изображения в един невронна мрежа, оптимизиран за ниска латентност","<a href=""https://openai.com/index/hello-gpt-4o/"" target=""_blank"">https://openai.com/index/hello-gpt-4o/</a>",,,,"Диалог в реално време, гласови асистенти, аудио анализ, многомодални интерактивни приложения, гласова поддръжка за ChatGPT","Мащабни многомодални данни включващи текст, аудио и изображения","Цялостно обучение на единен модел за всички модалности, подкрепено учене чрез човешка обратна връзка",да,Многоезичен с подобрена поддръжка,ограничено,"Да, като част от многоезиковата поддръжка","Латентност на аудио отговори (232-320ms), точност на speech recognition, многоезикова производителност, vision задачи","GPT-4o system card, Hello GPT-4o блог публикация",128K,"Да - end-to-end аудио обучение, real-time аудио processing, native voice-to-voice способности",,"Може да отговори на аудио входове за 232 милисекунди, включва 5 предварително зададени гласа, заменен от GPT-5 в ChatGPT през април 2025"
Qwen,Qwen 2,Qwen 2,Alibaba Cloud,Свободен,Apache 2.0,не,,да,безплатен,да,безплатен,06.2024,текст към текст,0.5 милиарда параметъра,"Базиран на Transformer архитектура с подобрения като групова заявка за внимание (GQA), ротационни позиционни вграждания (RoPE)","<a href=""https://qwenlm.github.io/blog/qwen2/"" target=""_blank"">https://qwenlm.github.io/blog/qwen2/</a>",ollama run qwen2,"<a href=""https://github.com/QwenLM/Qwen"" target=""_blank"">https://github.com/QwenLM/Qwen</a>","<a href=""https://huggingface.co/Qwen"" target=""_blank"">https://huggingface.co/Qwen</a>","Генериране на текст, отговори на въпроси, програмиране, математически задачи, многоезична комуникация","7 трилиона токъна от уеб данни, книги, код, въпроси и отговори, 27+ езика","Предварително обучение върху голям корпус, последвано от фина настройка със супервизирано обучение (SFT) и директна оптимизация на предпочитанията (DPO)",да,"Многоезичен: 27+ езика, включително английски, китайски, испански, френски, немски, арабски, руски, корейски, японски, тайвански, виетнамски",неизвестно,,"MMLU, C-Eval, GSM8K, MATH, HumanEval, MBPP, BBH","<a href=""https://qwenlm.github.io/blog/qwen2/"" target=""_blank"">https://qwenlm.github.io/blog/qwen2/</a>",128K,"Използва YARN за разширяване на контекстната дължина, специфична архитектура MoE за  модела 57B",,
Qwen,Qwen 2,Qwen 2,Alibaba Cloud,Свободен,Apache 2.0,не,,да,безплатен,да,безплатен,06.2024,текст към текст,1.5 милиарда параметъра,"Базиран на Transformer архитектура с подобрения като групова заявка за внимание (GQA), ротационни позиционни вграждания (RoPE)","<a href=""https://qwenlm.github.io/blog/qwen2/"" target=""_blank"">https://qwenlm.github.io/blog/qwen2/</a>",ollama run qwen2,"<a href=""https://github.com/QwenLM/Qwen"" target=""_blank"">https://github.com/QwenLM/Qwen</a>","<a href=""https://huggingface.co/Qwen"" target=""_blank"">https://huggingface.co/Qwen</a>","Генериране на текст, отговори на въпроси, програмиране, математически задачи, многоезична комуникация","7 трилиона токъна от уеб данни, книги, код, въпроси и отговори, 27+ езика","Предварително обучение върху голям корпус, последвано от фина настройка със супервизирано обучение (SFT) и директна оптимизация на предпочитанията (DPO)",да,"Многоезичен: 27+ езика, включително английски, китайски, испански, френски, немски, арабски, руски, корейски, японски, тайвански, виетнамски",неизвестно,,"MMLU, C-Eval, GSM8K, MATH, HumanEval, MBPP, BBH","<a href=""https://qwenlm.github.io/blog/qwen2/"" target=""_blank"">https://qwenlm.github.io/blog/qwen2/</a>",128K,"Използва YARN за разширяване на контекстната дължина, специфична архитектура MoE за  модела 57B",,
Qwen,Qwen 2,Qwen 2,Alibaba Cloud,Свободен,Tongyi Qianwen,не,,да,безплатен,да,безплатен,06.2024,текст към текст,7 милиарда параметъра,"Базиран на Transformer архитектура с подобрения като групова заявка за внимание (GQA), ротационни позиционни вграждания (RoPE)","<a href=""https://qwenlm.github.io/blog/qwen2/"" target=""_blank"">https://qwenlm.github.io/blog/qwen2/</a>",ollama run qwen2,"<a href=""https://github.com/QwenLM/Qwen"" target=""_blank"">https://github.com/QwenLM/Qwen</a>","<a href=""https://huggingface.co/Qwen"" target=""_blank"">https://huggingface.co/Qwen</a>","Генериране на текст, отговори на въпроси, програмиране, математически задачи, многоезична комуникация","7 трилиона токъна от уеб данни, книги, код, въпроси и отговори, 27+ езика","Предварително обучение върху голям корпус, последвано от фина настройка със супервизирано обучение (SFT) и директна оптимизация на предпочитанията (DPO)",да,"Многоезичен: 27+ езика, включително английски, китайски, испански, френски, немски, арабски, руски, корейски, японски, тайвански, виетнамски",неизвестно,,"MMLU, C-Eval, GSM8K, MATH, HumanEval, MBPP, BBH","<a href=""https://qwenlm.github.io/blog/qwen2/"" target=""_blank"">https://qwenlm.github.io/blog/qwen2/</a>",128K,"Използва YARN за разширяване на контекстната дължина, специфична архитектура MoE за  модела 57B",,
